#IEA,World,,,,,,,,,,
#Balance,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,Wind solar etc.,Biofuels and waste,Electricity,Heat,Total
Unit,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe
Production,3877572,4419467,,2966252,670172,334851,203821,1265443,,1867,13739445
Imports,765186,2312966,1276375,878814,,,,23451,64620,6,5321418
Exports,-795086,-2264148,-1380269,-900334,,,,-18044,-63001,-5,-5420889
International marine bunkers,,,,,,,,,,,
International aviation bunkers,,,,,,,,,,,
Stock changes,-4929,-18429,-17727,-15937,,,,385,,,-56637
TES,3842742,4449855,-121622,2928795,670172,334851,203821,1271235,1619,1868,13583338
Transfers,-971,-216085,241416,,,,,-27,,,24334
Statistical differences,-19322,-4961,37804,15714,,,-24,-2245,-6508,407,20867
Electricity plants,-1686083,-46486,-188553,-818301,-662593,-334851,-158438,-96750,1759146,-873,-2233784
CHP plants,-618700,-7,-18488,-321488,-7579,,-2729,-59613,328588,228299,-471718
Heat plants,-23963,-654,-11541,-62264,,,-1205,-11556,-373,98066,-13491
Gas works,-8451,-3,-2482,4592,,,,-220,,,-6565
Oil refineries,,-4208441,4127460,,,,,,,,-80981
Coal transformation,-282304,,-2551,-64,,,,-166,,,-285085
Liquefication plants,-10105,14376,,-17894,,,,,,,-13623
Other transformation,-368,46461,-35562,-12974,,,,-77406,,-569,-80417
Energy industry own use,-92711,-12077,-213705,-273590,,,,-14408,-176684,-36950,-820124
Losses,-2503,-8478,-391,-19864,,,-11,-189,-165064,-18265,-214765
Total final consumption,1097261,13500,3811786,1422661,,,41414,1008654,1740726,271984,9407986
Industry,888001,3556,292606,541402,,,850,199657,733588,124658,2784319
Transport,55,15,2486875,97764,,,,78151,28795,,2691655
Residential,74956,,204943,423166,,,29973,688011,472082,102624,1995755
Commercial and public services,34778,,82279,185474,,,7680,29396,387199,34421,761226
Agriculture / forestry,15327,10,106938,9229,,,1878,11187,49932,3074,197573
Fishing,1,,6363,97,,,43,22,616,31,7173
Non-specified,29839,58,23450,3520,,,990,2230,68514,7176,135777
Non-energy use,54305,9861,608332,162009,,,,,,,834508
,,,,,,,,,,,
#Electricity,Electricity,Heat,,,,,,,,,
Unit,GWh,TJ,,,,,,,,,
Coal,9534199,5763712,,,,,,,,,
Oil,1027686,595292,,,,,,,,,
Natural gas,5525879,5892054,,,,,,,,,
Biofuels,415631,547315,,,,,,,,,
Waste,101843,413572,,,,,,,,,
Nuclear,2570070,25618,,,,,,,,,
Hydro,3982151,,,,,,,,,,
Geothermal,80562,34251,,,,,,,,,
Solar PV,250076,,,,,,,,,,
Solar thermal,9605,1062,,,,,,,,,
Wind,833732,,,,,,,,,,
Tide,1006,,,,,,,,,,
Other sources,35741,469538,,,,,,,,,
Municipal Waste,73417,274870,,,,,,,,,
Waste (renewable),37528,143153,,,,,,,,,
Total production,24368183,13742413,,,,,,,,,
Imports,751534,260,,,,,,,,,
Exports,-732702,-225,,,,,,,,,
Domestic supply,24387015,13742448,,,,,,,,,
Statistical differences,-75684,17054,,,,,,,,,
Transformation,4336,60347,,,,,,,,,
Electricity plants,,36542,,,,,,,,,
Heat plants,4336,23804,,,,,,,,,
Energy industry own use,2142660,1547026,,,,,,,,,
Losses,1919694,764714,,,,,,,,,
Final consumption,20244640,11387414,,,,,,,,,
Industry,8531631,5219192,,,,,,,,,
Transport,334880,,,,,,,,,,
Residential,5490316,4296648,,,,,,,,,
Commercial and public services,4503124,1441128,,,,,,,,,
Agriculture / forestry,580706,128703,,,,,,,,,
Fishing,7163,1284,,,,,,,,,
Other non-specified,796819,300460,,,,,,,,,
