Type,Keyword,Author,Date,Title,Journal,Volume,Page,Doi,Link,ImgUrl,Category,SubCategory
Article,Korea; China; Japan; international emissions trading; nationally determined contribution; global change assessment model,"Baek, M.; Chai, Q.; Kim, S.",2020-07-10,How Carbon Market Cooperation Changes the Energy Systems in Northeast Asia,World Scientific,11(2),2050010,https://doi.org/10.1142/S2010007820500104,https://www.worldscientific.com/doi/10.1142/S2010007820500104,,EML,Emissions; Climate Policy
Article,Corporate Average Fuel Economy standards; Global Change Assessment Model,"Jeon, S.; Roh, M.; Heshmati, A.; Kim, S.",2020-09-01,An Assessment of Corporate Average Fuel Economy Standards for Passenger Cars in South Korea,Energies,13(17),4533,https://doi.org/10.3390/en13174533,https://www.mdpi.com/1996-1073/13/17/4533,,EML,Energy; Transportation
Article,integrated assessment model; energy system; high spatial resolution analysis; GCAM-Korea,"Jeon, S.; Roh, M.; Oh, J.; Kim, S.",2020-05-18,Development of an Integrated Assessment Model at Provincial Level GCAM Korea,Energies,13(10),2565,https://doi.org/10.3390/en13102565,https://www.mdpi.com/1996-1073/13/10/2565,gcam-korea.png,EML,Energy; Modeling
Article,integrated assessment model; subsidy policy; air quality improvement; zero-emission vehicles; fine particulate matter,"Roh, M.; Jeon, S.; Kim, S.; Yu, S.; Hesmati, A.; Kim, S.",2020-08-03,Modeling Air Pollutant Emissions in the Provincial Level Road Transportation Sector in Korea A Case Study of the Zero Emission Vehicle Subsidy,Energies,13(15),3999,https://doi.org/10.3390/en13153999,https://www.mdpi.com/1996-1073/13/15/3999,air-pollutants.jpg,EML,Emissions; Climate Policy; Modeling; Transportation
Article,national energy modeling; biomass; Ethiopia; urban rural; efficiency; urbanization,"Yurnaidi, Z.; Kim, S.",2018-07-03,Reducing Biomass Utilization in the Ethiopia Energy System A National Modeling Analysis,Energies,11(17),1745,https://doi.org/10.3390/en11071745,https://www.mdpi.com/1996-1073/11/7/1745,,EML,Energy; Modeling
Article,Intended Nationally Determined Contribution(INDC); Marginal Abatement Cost Curve(MACC); Global Change Assessment Model(GCAM),노민영; 김수덕,2017-02-28,GCAM을 이용한 부문별 한계저감비용곡선 도출,한국자원공학회지,54(1),20-28,https://doi.org/10.12972/ksmer.2017.54.1.020,http://www.jksmer.or.kr/articles/article/PJow/,,EML,Emissions; Energy
Article,Indoor Cooling Temperature Regulation; Energy Census; GCAM(Global Change Assessment Model),"백민호; Yurnaidi, Z.; 오재익; 김수덕",2016-02-28,GCAM을 이용한 건물부문 실내온도 규제의 효과 분석,한국자원공학회지,53(1),44487,https://doi.org/10.12972/ksmer.2016.53.1.010,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002083019,,EML,Building; Emissions; Energy
Article,INDC; Integrated Assessment Model; Power Sector; New Technology Energy,"백민호; 노민영; Yurnaidi, Z.; 김수덕",2016-12-31,자발적 온실가스 감축목표 달성을 위한 발전기술별 온실가스저감 잠재량 평가,한국환경경제학회,25(4),565-590,https://doi.org/10.15266/KEREA.2016.25.4.565,http://kiss.kstudy.com/thesis/thesis-view.asp?key=3487368,,EML,Emissions; Climate Policy
Article,direct emission; electric vehicle; greenhouse gas; indirect emission; subsidy,전승호; 김수덕,2019-04-30,배터리 전기차 보조금과 온실가스 감축효과,대한교통학회,37(2),92-109,https://doi.org/10.7470/jkst.2019.37.1.092,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE09215870,,EML,Transportation; Emissions; Energy
Article,fuel efficiency; GCAM; integrated assessment model; load factor; transportation sector; transportation service demand,전승호; 김수덕,2017-04-30,GCAM을 이용한 국내 수송부문 모델링,대한교통학회,35(2),91-104,https://doi.org/10.7470/jkst.2017.35.2.091,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002221413,,EML,Modeling; Energy; Transportation
Article,,"Hartin, C.A.; Patel, P.; Schwarber, A.; Link, R.P.; Bond-Lamberty, B.P.",2015-04-01,A simple object-oriented and open-source model for scientific and policy analyses of the global climate system-Hector v1.0,Geoscientific Model Development,8,939-955,https://doi.org/10.5194/gmd-8-939-2015,https://gmd.copernicus.org/articles/8/939/2015/,,Others,Modeling; Climate change impacts
Article,Climate change; Air pollution; Radiative forcing; Black carbon; Methane,"Smith, S.J.; Chateau, J.; Dorheim, K.; Drouet, L.; Durand-Lasserve, O.; Fricko, O.; Fujimori, S.; Hanaoka, T.; Haramsen, M.; Hilaire, J.; Keramidas, K.; Kilmont, Z.; Luderer, G.; P. Moura, M. C.; Riahi, K.; Rogelj, J.; Sano, F.; van Vauuren, D.P.; Wada, K",2020-09-17,Impact of methane and black carbon mitigation on forcing and temperature: a multi-model scenario analysis,Climatic Change,163,1427-1442,https://doi.org/10.1007/s10584-020-02794-3,https://link.springer.com/article/10.1007/s10584-020-02794-3,,Others,Climate change impacts; Emissions
Article,sea level rise; climate sensitivity; probabilistic projections,"Vega-Westhoff, B.; Sriver, R.L.; Hartin, C.; Wong, T.E.; Keller, K.",2020-03-11,The Role of Climate Sensitivity in Upper-Tail Sea Level Rise Projections,Geophysical Research Letters,47,e2019GL085792,https://doi.org/10.1029/2019GL085792,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL085792,,Others,Climate change impacts; Sea level rise
Article,data-model fusion; probabilistic projections; reducced-complexity model,"Vega-Westhoff, B.; Sriver, R.L.; Hartin, C.A.; Wong, T.E.; Keller, K.",2019-05-07,Impacts of observational constraints related to sea level on estimates of climate sensitivity,Earths Future,7,677-690,https://doi.org/10.1029/2018EF001082,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018EF001082,,Others,Modeling; Climate change impacts; Sea level rise
Article,Nuclear power plants; China; Integrated assessment; Integrated assessmet; Provincial-level analysis,"Yu, S.; Yarlagadda, B.; Siegel, J.E.; Zhou, S.; Kim, S.",2020-02-24,The role of nuclear in Chinas energy future Insights from integrated assessment,Energy Poilcy,139,111344,https://doi.org/10.1016/j.enpol.2020.111344,https://www.sciencedirect.com/science/article/pii/S0301421520301014,,Others,China; Nuclear
Article,Building energy; Commercial and public buildings; Energy usage; Regional energy; GCAM-Korea,김문태; 김선숙; 김수덕,2020-12-30,Improvement of the GCAM-Korea Based on Commercial and Public Buildings Energy Consumption Characteristics at Provincial Level,한국생활환경학회지,27(6),709-726,http://dx.doi.org/10.21086/ksles.2020.12.27.6.709,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10521046&language=ko_KR,,EML,Modeling; Energy; Building
Report,건물에너지인증제도; 대형상업용건물; 에너지총조사; 에너지효율; GCAM-EML,"백민호; Yurnaidi, Z.; 오재익; 김수덕",2015-12-30,GCAM-EML을 이용한 대형상업용 건물에너지 효율변화의 장기영향 분석,에너지경제연구,14(3),229-264,,http://www.keei.re.kr/keei/download/keer/KEER15_14-3_80.pdf,,EML,Modeling; Energy; Building
